Eirodynoir Plot Results:
crit_rating, DPS, DPS-Error
520, 119,655, 342.138
530, 119,895, 342.974
540, 120,042, 343.047
550, 120,258, 344.225
560, 120,446, 344.054
570, 120,700, 345.153
580, 120,887, 345.378
590, 121,098, 347.824
600, 121,311, 347.25
610, 121,487, 347.344
620, 121,679, 349.805
630, 121,913, 347.727
640, 122,086, 350.118
650, 122,306, 351.846
660, 122,454, 350.244
670, 122,719, 352.243
680, 122,961, 351.312
690, 123,125, 351.883
700, 123,335, 353.696
710, 123,479, 350.761
720, 123,701, 354.87
730, 123,953, 356.494
740, 124,143, 352.793
750, 124,279, 356.58
760, 124,526, 358.591
770, 124,710, 357.037
780, 124,942, 357.347
790, 125,150, 359.629
800, 125,304, 359.72
810, 125,525, 359.924
820, 125,755, 361.442
830, 125,969, 360.921
840, 126,116, 359.91
850, 126,374, 361.053
860, 126,489, 362.158
870, 126,742, 363.88
880, 126,968, 365.877
890, 127,159, 364.715
900, 127,326, 363.344
910, 127,578, 369.099
920, 127,776, 368.364
930, 127,937, 367.771
940, 128,189, 364.095
950, 128,335, 368.82
960, 128,606, 369.057
970, 128,741, 367.717
980, 128,891, 368.755
990, 129,215, 372.058
1,000, 129,388, 369.908
1,010, 129,584, 372.751
1,020, 129,770, 369.371
1,030, 129,985, 373.847
1,040, 130,155, 372.342
1,050, 130,424, 369.888
1,060, 130,578, 373.474
1,070, 130,797, 375.907
1,080, 130,926, 375.079
1,090, 131,160, 377.623
1,100, 131,380, 377.443
1,110, 131,587, 375.727
1,120, 131,810, 379.107
1,130, 131,980, 378.358
1,140, 132,225, 376.629
1,150, 132,406, 380.536
1,160, 132,636, 379.975
1,170, 132,764, 377.488
1,180, 133,027, 382.338
1,190, 133,261, 380.34
1,200, 133,407, 380.431
1,210, 133,621, 383.38
1,220, 133,822, 384.426
1,230, 134,017, 384.785
1,240, 134,240, 386.355
1,250, 134,447, 383.281
1,260, 134,593, 385.887
1,270, 134,816, 387.563
1,280, 134,981, 383.361
1,290, 135,206, 386.26
1,300, 135,487, 390.177
1,310, 135,649, 388.674
1,320, 135,800, 389.433
1,330, 136,092, 389.37
1,340, 136,199, 389.437
1,350, 136,429, 391.089
1,360, 136,663, 391.4
1,370, 136,819, 390.895
1,380, 137,014, 393.879
1,390, 137,271, 394.906
1,400, 137,426, 394.408
1,410, 137,659, 396.531
1,420, 137,920, 394.823
1,430, 138,109, 398.329
1,440, 138,287, 398.876
1,450, 138,410, 396.791
1,460, 138,697, 397.348
1,470, 138,876, 396.66
1,480, 139,105, 395.699
1,490, 139,273, 401.518
1,500, 139,486, 394.758

