逝川流光 Plot Results:
crit_rating, DPS, DPS-Error
1,230, 55,461.2, 156.323
1,240, 55,556.6, 157.39
1,250, 55,637.8, 157.183
1,260, 55,666.3, 166.701
1,270, 55,787.3, 158.561
1,280, 55,834.2, 157.55
1,290, 55,914.9, 159.322
1,300, 55,987.7, 158.437
1,310, 56,060.2, 157.488
1,320, 56,131.3, 159.471
1,330, 56,209.4, 158.523
1,340, 56,248, 167.456
1,350, 56,331.6, 167.9
1,360, 56,411.8, 168.224
1,370, 56,475.1, 159.236
1,380, 56,568.1, 160.331
1,390, 56,649.7, 161.56
1,400, 56,733.7, 168.005
1,410, 56,784.1, 161.337
1,420, 56,864.5, 160.56
1,430, 56,914.5, 169.047
1,440, 56,987.4, 160.782
1,450, 57,099.6, 160.962
1,460, 57,147.9, 160.832
1,470, 57,196.9, 170.54
1,480, 57,287.2, 162.356
1,490, 57,340.8, 160.676
1,500, 57,414.6, 162.482

